dataset,model1,model2,sig_val,p_val,better_model,better_f1,worse_model,worse_f1
newsqa,optl-adapter,bertbc-plain,**,0.001,bertbc-plain,62.18,optl-adapter,55.14
newsqa,optl-adapter,bertlc-adapter,*,0.019,bertlc-adapter,60.12,optl-adapter,55.14
newsqa,optl-adapter,bertlc-lora,***,0.0,optl-adapter,55.14,bertlc-lora,42.19
newsqa,optl-adapter,bertlc-plain,***,0.0,bertlc-plain,65.23,optl-adapter,55.14
newsqa,optl-adapter,optb-adapter,**,0.003,optl-adapter,55.14,optb-adapter,48.44
newsqa,optl-adapter,optb-lora,**,0.002,optl-adapter,55.14,optb-lora,47.54
newsqa,optl-adapter,optb-plain,*,0.032,optb-plain,58.85,optl-adapter,55.14
newsqa,optl-lora,optb-adapter,***,0.0,optl-lora,57.94,optb-adapter,48.44
newsqa,optl-lora,optl-adapter,,0.058,optl-lora,57.94,optl-adapter,55.14
newsqa,optl-plain,optb-adapter,***,0.0,optl-plain,62.37,optb-adapter,48.44
newsqa,optl-plain,optl-adapter,**,0.002,optl-plain,62.37,optl-adapter,55.14
newsqa,rb-adapter,optb-adapter,**,0.006,rb-adapter,55.01,optb-adapter,48.44
newsqa,rb-adapter,optl-adapter,,0.493,optl-adapter,55.14,rb-adapter,55.01
newsqa,rb-lora,optb-adapter,*,0.036,optb-adapter,48.44,rb-lora,43.62
newsqa,rb-lora,optl-adapter,***,0.0,optl-adapter,55.14,rb-lora,43.62
newsqa,rb-plain,optb-adapter,***,0.0,rb-plain,63.25,optb-adapter,48.44
newsqa,rb-plain,optl-adapter,**,0.001,rb-plain,63.25,optl-adapter,55.14
newsqa,rl-adapter,optb-adapter,***,0.0,rl-adapter,66.84,optb-adapter,48.44
newsqa,rl-adapter,optl-adapter,***,0.0,rl-adapter,66.84,optl-adapter,55.14
newsqa,rl-lora,optb-adapter,*,0.011,rl-lora,54.32,optb-adapter,48.44
newsqa,rl-lora,optl-adapter,,0.374,optl-adapter,55.14,rl-lora,54.32
newsqa,rl-plain,optb-adapter,***,0.0,rl-plain,70.02,optb-adapter,48.44
newsqa,rl-plain,optl-adapter,***,0.0,rl-plain,70.02,optl-adapter,55.14
newsqa,t5b-adapter,optb-adapter,***,0.0,t5b-adapter,67.25,optb-adapter,48.44
newsqa,t5b-adapter,optl-adapter,***,0.0,t5b-adapter,67.25,optl-adapter,55.14
newsqa,t5b-lora,optb-adapter,***,0.0,t5b-lora,64.76,optb-adapter,48.44
newsqa,t5b-lora,optl-adapter,***,0.0,t5b-lora,64.76,optl-adapter,55.14
newsqa,t5b-plain,optb-adapter,***,0.0,t5b-plain,67.46,optb-adapter,48.44
newsqa,t5b-plain,optl-adapter,***,0.0,t5b-plain,67.46,optl-adapter,55.14
newsqa,t5l-adapter,optb-adapter,***,0.0,t5l-adapter,69.7,optb-adapter,48.44
newsqa,t5l-adapter,optl-adapter,***,0.0,t5l-adapter,69.7,optl-adapter,55.14
newsqa,t5l-lora,optb-adapter,***,0.0,t5l-lora,69.52,optb-adapter,48.44
newsqa,t5l-lora,optl-adapter,***,0.0,t5l-lora,69.52,optl-adapter,55.14
newsqa,t5l-plain,optb-adapter,***,0.0,t5l-plain,69.87,optb-adapter,48.44
newsqa,t5l-plain,optl-adapter,***,0.0,t5l-plain,69.87,optl-adapter,55.14
squad,optb-adapter,bertbc-adapter,*,0.032,bertbc-adapter,77.76,optb-adapter,75.22
squad,optb-adapter,bertbc-lora,***,0.0,optb-adapter,75.22,bertbc-lora,24.68
squad,optb-adapter,bertbc-plain,***,0.0,bertbc-plain,87.64,optb-adapter,75.22
squad,optb-adapter,bertlc-adapter,***,0.0,bertlc-adapter,85.58,optb-adapter,75.22
squad,optb-adapter,bertlc-lora,***,0.0,optb-adapter,75.22,bertlc-lora,67.15
squad,optb-adapter,bertlc-plain,***,0.0,bertlc-plain,90.7,optb-adapter,75.22
squad,optb-lora,optb-adapter,***,0.0,optb-adapter,75.22,optb-lora,71.94
squad,optb-plain,optb-adapter,***,0.0,optb-plain,83.58,optb-adapter,75.22
squad,optl-adapter,bertbc-adapter,***,0.0,optl-adapter,83.45,bertbc-adapter,77.76
squad,optl-adapter,bertbc-lora,***,0.0,optl-adapter,83.45,bertbc-lora,24.68
squad,optl-adapter,bertbc-plain,***,0.0,bertbc-plain,87.64,optl-adapter,83.45
squad,optl-adapter,bertlc-adapter,*,0.032,bertlc-adapter,85.58,optl-adapter,83.45
squad,optl-adapter,bertlc-lora,***,0.0,optl-adapter,83.45,bertlc-lora,67.15
squad,optl-adapter,bertlc-plain,***,0.0,bertlc-plain,90.7,optl-adapter,83.45
squad,optl-adapter,optb-adapter,***,0.0,optl-adapter,83.45,optb-adapter,75.22
squad,optl-adapter,optb-lora,***,0.0,optl-adapter,83.45,optb-lora,71.94
squad,optl-adapter,optb-plain,,0.419,optb-plain,83.58,optl-adapter,83.45
squad,optl-lora,optb-adapter,***,0.0,optl-lora,83.29,optb-adapter,75.22
squad,optl-lora,optl-adapter,,0.438,optl-adapter,83.45,optl-lora,83.29
squad,optl-plain,optb-adapter,***,0.0,optl-plain,85.9,optb-adapter,75.22
squad,optl-plain,optl-adapter,**,0.008,optl-plain,85.9,optl-adapter,83.45
squad,rb-adapter,optb-adapter,***,0.0,rb-adapter,85.84,optb-adapter,75.22
squad,rb-adapter,optl-adapter,*,0.015,rb-adapter,85.84,optl-adapter,83.45
squad,rb-lora,optb-adapter,**,0.007,rb-lora,78.69,optb-adapter,75.22
squad,rb-lora,optl-adapter,***,0.0,optl-adapter,83.45,rb-lora,78.69
squad,rb-plain,optb-adapter,***,0.0,rb-plain,92.0,optb-adapter,75.22
squad,rb-plain,optl-adapter,***,0.0,rb-plain,92.0,optl-adapter,83.45
squad,rl-adapter,optb-adapter,***,0.0,rl-adapter,93.41,optb-adapter,75.22
squad,rl-adapter,optl-adapter,***,0.0,rl-adapter,93.41,optl-adapter,83.45
squad,rl-lora,optb-adapter,***,0.0,rl-lora,88.74,optb-adapter,75.22
squad,rl-lora,optl-adapter,***,0.0,rl-lora,88.74,optl-adapter,83.45
squad,rl-plain,optb-adapter,***,0.0,rl-plain,94.57,optb-adapter,75.22
squad,rl-plain,optl-adapter,***,0.0,rl-plain,94.57,optl-adapter,83.45
squad,t5b-adapter,optb-adapter,***,0.0,t5b-adapter,90.34,optb-adapter,75.22
squad,t5b-adapter,optl-adapter,***,0.0,t5b-adapter,90.34,optl-adapter,83.45
squad,t5b-lora,optb-adapter,***,0.0,t5b-lora,87.55,optb-adapter,75.22
squad,t5b-lora,optl-adapter,***,0.0,t5b-lora,87.55,optl-adapter,83.45
squad,t5b-plain,optb-adapter,***,0.0,t5b-plain,90.93,optb-adapter,75.22
squad,t5b-plain,optl-adapter,***,0.0,t5b-plain,90.93,optl-adapter,83.45
squad,t5l-adapter,optb-adapter,***,0.0,t5l-adapter,93.66,optb-adapter,75.22
squad,t5l-adapter,optl-adapter,***,0.0,t5l-adapter,93.66,optl-adapter,83.45
squad,t5l-lora,optb-adapter,***,0.0,t5l-lora,92.75,optb-adapter,75.22
squad,t5l-lora,optl-adapter,***,0.0,t5l-lora,92.75,optl-adapter,83.45
squad,t5l-plain,optb-adapter,***,0.0,t5l-plain,93.86,optb-adapter,75.22
squad,t5l-plain,optl-adapter,***,0.0,t5l-plain,93.86,optl-adapter,83.45
