NSD,Gen_type,arch,ft,size
-0.15582037170980012,OOD,eo,plain,large
-0.18850182781081637,OOD,eo,plain,base
-0.043577263708477844,OOD,ed,plain,large
-0.32995444316785866,OOD,do,adapter,base
-0.026474849549194514,OOD,ed,lora,large
-0.17289882708720633,OOD,do,plain,large
-0.1136081662193354,OOD,eo,lora,large
-0.05171726924434284,OOD,ed,adapter,large
-0.08534887658292048,OOD,eo,adapter,large
-0.18116199970026428,OOD,eo,adapter,large
-0.3541899707116186,OOD,do,lora,base
-0.19358637946340615,OOD,do,plain,base
-0.09390430066308085,OOD,ed,adapter,base
-0.09426842325641811,OOD,ed,plain,base
-0.1671175781180376,OOD,eo,plain,large
-0.04697658325673548,OOD,ed,plain,large
-0.23896504631929688,OOD,eo,adapter,base
-0.25994398190613843,OOD,do,lora,large
-0.18965725246946571,OOD,eo,plain,base
-0.06161657111816053,OOD,ed,adapter,large
-0.1271694527901112,OOD,eo,plain,base
-0.03371250273241667,OOD,ed,lora,large
-0.18365696505691675,OOD,eo,lora,large
-0.1721632229746877,OOD,eo,lora,base
-0.08961999748274627,OOD,ed,adapter,base
-0.08246434604702327,OOD,eo,plain,large
-0.08642418604904817,OOD,eo,adapter,large
-0.33885677298378575,OOD,eo,lora,base
-0.34089255004685476,OOD,do,lora,base
-0.27387277668190035,OOD,do,adapter,large
-0.12158790152475196,OOD,eo,plain,base
-0.16473973430154698,OOD,do,plain,large
-0.10149134061419239,OOD,eo,lora,large
-0.029436166574296308,OOD,ed,lora,large
-0.16441722490914476,OOD,eo,lora,base
-0.08371057151803767,OOD,eo,plain,large
-0.20286242312871397,OOD,do,plain,base
-0.22940025623672058,OOD,eo,lora,large
-0.2666392103077647,OOD,do,adapter,large
-0.19585070798183124,OOD,eo,adapter,large
-0.3181434891461167,OOD,eo,lora,base
-0.16038698981388536,OOD,eo,adapter,base
-0.09821506546562728,OOD,ed,plain,base
-0.06822437403649623,OOD,ed,lora,base
-0.3084244036267335,OOD,do,adapter,base
-0.045176012643523764,OOD,ed,plain,large
-0.23081030235917335,OOD,do,lora,large
-0.18946810451648097,OOD,eo,plain,base
-0.23993446599658552,OOD,eo,adapter,base
-0.06472781523042986,ROB,do,adapter,base
-0.06742472009555331,ROB,eo,plain,base
-0.059307692175187506,ROB,eo,adapter,base
-0.07413502693829138,ROB,eo,plain,large
-0.06869000115527747,ROB,eo,plain,large
-0.0693905809407994,ROB,ed,lora,large
-0.07202585844604545,ROB,ed,adapter,large
-0.07364903667476556,ROB,do,adapter,large
-0.05794331742158664,ROB,eo,lora,base
-0.07013476001145323,ROB,eo,lora,large
-0.0663262019853379,ROB,do,plain,base
-0.067716065418046,ROB,do,lora,large
-0.05914102293262135,ROB,eo,adapter,base
-0.06465209620340909,ROB,ed,adapter,base
-0.059309915500377695,ROB,ed,lora,base
-0.06936846025420276,ROB,do,plain,large
-0.0692317693848224,ROB,ed,adapter,large
-0.06939180442501525,ROB,eo,adapter,large
-0.057263685959992046,ROB,eo,lora,base
-0.06060121526404758,ROB,do,lora,large
-0.06908484167936052,ROB,eo,lora,large
-0.06278765992203653,ROB,do,plain,base
-0.06392899894766134,ROB,ed,adapter,base
-0.06110162855409841,ROB,eo,lora,large
-0.061030955175086436,ROB,eo,lora,base
-0.05706236913461137,ROB,ed,lora,base
-0.07001525085066217,ROB,do,plain,large
-0.06839629575701042,ROB,eo,plain,base
-0.05760236843165296,ROB,do,adapter,base
-0.07114591953622004,ROB,do,lora,base
-0.06756283792193528,ROB,ed,plain,base
-0.07116602915604421,ROB,eo,plain,large
-0.06431173711732069,ROB,eo,adapter,large
-0.07243715450619835,ROB,ed,plain,large
-0.06834606677520944,ROB,eo,lora,large
-0.0686742452729523,ROB,eo,adapter,large
-0.08097562513842273,ROB,do,adapter,large
-0.06058091441118064,ROB,eo,lora,base
-0.06263927838408413,ROB,ed,lora,base
-0.06386928163329209,ROB,eo,lora,large
-0.06124439370172593,ROB,eo,adapter,base
-0.06873156406236029,ROB,eo,plain,base
-0.06437133636902152,ROB,do,lora,base
-0.06645058683396929,ROB,ed,plain,base
-0.06784090069392663,ROB,eo,plain,base
-0.0740332387926161,ROB,eo,plain,large
-0.06948521270853392,ROB,eo,plain,large
